site,window_start,Ion,Concentration
BQ1,1994-04-26,no3_ugl,17.444444444444443
BQ1,1994-04-26,nh4_ugl,NA
BQ1,1994-04-26,k_mgl,1.1566666666666667
BQ1,1994-04-26,mg_mgl,3.7
BQ1,1994-04-26,ca_mgl,6.6466666666666665
BQ1,1994-06-28,no3_ugl,94.75
BQ1,1994-06-28,nh4_ugl,NA
BQ1,1994-06-28,k_mgl,1.143
BQ1,1994-06-28,mg_mgl,3.505
BQ1,1994-06-28,ca_mgl,6.196
BQ1,1994-08-30,no3_ugl,NA
BQ1,1994-08-30,nh4_ugl,NA
BQ1,1994-08-30,k_mgl,1.22
BQ1,1994-08-30,mg_mgl,3.3455555555555554
BQ1,1994-08-30,ca_mgl,6.12
BQ1,1994-11-01,no3_ugl,109
BQ1,1994-11-01,nh4_ugl,NA
BQ1,1994-11-01,k_mgl,1.0988888888888888
BQ1,1994-11-01,mg_mgl,3.0444444444444443
BQ1,1994-11-01,ca_mgl,5.645555555555555
BQ2,1986-05-20,no3_ugl,208.66666666666666
BQ2,1986-05-20,nh4_ugl,NA
BQ2,1986-05-20,k_mgl,0.79
BQ2,1986-05-20,mg_mgl,3.0033333333333334
BQ2,1986-05-20,ca_mgl,4.9
BQ2,1986-07-22,no3_ugl,NA
BQ2,1986-07-22,nh4_ugl,NA
BQ2,1986-07-22,k_mgl,NA
BQ2,1986-07-22,mg_mgl,NA
BQ2,1986-07-22,ca_mgl,NA
BQ2,1986-09-23,no3_ugl,206.6
BQ2,1986-09-23,nh4_ugl,22.6
BQ2,1986-09-23,k_mgl,0.716
BQ2,1986-09-23,mg_mgl,2.43
BQ2,1986-09-23,ca_mgl,4.946
BQ2,1986-11-25,no3_ugl,268.1111111111111
BQ2,1986-11-25,nh4_ugl,17.25
BQ2,1986-11-25,k_mgl,0.6922222222222223
BQ2,1986-11-25,mg_mgl,2.5211111111111113
BQ2,1986-11-25,ca_mgl,4.742222222222222
BQ2,1987-01-27,no3_ugl,219.625
BQ2,1987-01-27,nh4_ugl,14
BQ2,1987-01-27,k_mgl,0.76
BQ2,1987-01-27,mg_mgl,2.658888888888889
BQ2,1987-01-27,ca_mgl,4.924444444444444
BQ2,1987-03-31,no3_ugl,259.85714285714283
BQ2,1987-03-31,nh4_ugl,39
BQ2,1987-03-31,k_mgl,0.9455555555555556
BQ2,1987-03-31,mg_mgl,2.29
BQ2,1987-03-31,ca_mgl,4.682222222222222
BQ2,1987-06-02,no3_ugl,232.77777777777777
BQ2,1987-06-02,nh4_ugl,70.66666666666667
BQ2,1987-06-02,k_mgl,0.8188888888888889
BQ2,1987-06-02,mg_mgl,2.49
BQ2,1987-06-02,ca_mgl,4.915555555555556
BQ2,1987-08-04,no3_ugl,231.3846153846154
BQ2,1987-08-04,nh4_ugl,32.84615384615385
BQ2,1987-08-04,k_mgl,0.8530769230769231
BQ2,1987-08-04,mg_mgl,2.037692307692308
BQ2,1987-08-04,ca_mgl,4.03
BQ2,1987-10-06,no3_ugl,191
BQ2,1987-10-06,nh4_ugl,12.1
BQ2,1987-10-06,k_mgl,0.856
BQ2,1987-10-06,mg_mgl,2.0949999999999998
BQ2,1987-10-06,ca_mgl,4.21
BQ2,1987-12-08,no3_ugl,253.86666666666667
BQ2,1987-12-08,nh4_ugl,18.36842105263158
BQ2,1987-12-08,k_mgl,0.8668421052631579
BQ2,1987-12-08,mg_mgl,2.04
BQ2,1987-12-08,ca_mgl,4.324736842105263
BQ2,1988-02-09,no3_ugl,185
BQ2,1988-02-09,nh4_ugl,18.857142857142858
BQ2,1988-02-09,k_mgl,0.7775
BQ2,1988-02-09,mg_mgl,2.34625
BQ2,1988-02-09,ca_mgl,4.33875
BQ2,1988-04-12,no3_ugl,216.7
BQ2,1988-04-12,nh4_ugl,57.55555555555556
BQ2,1988-04-12,k_mgl,0.807
BQ2,1988-04-12,mg_mgl,2.187
BQ2,1988-04-12,ca_mgl,3.868
BQ2,1988-06-14,no3_ugl,NA
BQ2,1988-06-14,nh4_ugl,67.5
BQ2,1988-06-14,k_mgl,0.7545454545454545
